,Year,AreaHa,Shape__Length,StartDate,Label,FireName
29693,2013,0.0,264,2013-11-02,2013-14 Wildfire,Sunnydell
29694,2013,30000.0,674,2013-12-21,2013-14 Wildfire,5 Mile Hill
29695,2013,30000.0,676,2013-12-17,2013-14 Wildfire,Bouchier's Ridge
29696,2013,6270000.0,13418,2013-12-21,2013-14 Wildfire,Gospers Creek
29697,2013,10000.0,471,2013-12-22,2013-14 Wildfire,Glen Alice
29698,2013,0.0,122,2013-12-20,2013-14 Wildfire,Top Valley
29699,2013,0.0,34,2014-01-10,2013-14 Wildfire,SMH Talbingo
29700,2013,0.0,313,2014-01-01,2013-14 Wildfire,Nightcap Range National Park
29702,2013,2650000.0,11502,2013-08-20,2013-14 Wildfire,Nulla Nulla Creek
29703,2013,12760000.0,17726,2013-09-06,2013-14 Wildfire,Coast Range Candole
29704,2013,560000.0,3190,2013-09-11,2013-14 Wildfire,Collombatti Road
29708,2013,2830000.0,11474,2013-08-30,2013-14 Wildfire,Banyabba Fire
29710,2013,400000.0,2442,2013-09-19,2013-14 Wildfire,Benauds Road Fire
29711,2013,10000.0,557,2014-01-07,2013-14 Wildfire,Gentle Annie Rd
29712,2013,0.0,171,2013-08-29,2013-14 Wildfire,Fishos Trail
29713,2013,10000.0,384,2013-09-05,2013-14 Wildfire,McGuires Crossing
29714,2013,30000.0,690,2014-01-19,2013-14 Wildfire,Tabletop Creek
29715,2013,20000.0,654,2014-01-19,2013-14 Wildfire,Mosquito Creek
29716,2013,0.0,249,2014-01-18,2013-14 Wildfire,O'Rourkes
29717,2013,0.0,39,2014-01-18,2013-14 Wildfire,Sawyers Hill
29718,2013,0.0,116,2014-01-18,2013-14 Wildfire,Mt Ikes
29719,2013,4480000.0,11415,2013-08-30,2013-14 Wildfire,Saltwater Trail
29720,2013,850000.0,3756,2013-12-12,2013-14 Wildfire,Hungerford Creek Fire 2
29721,2013,160000.0,2694,2013-12-21,2013-14 Wildfire,Hungerford Creek 3
29722,2013,2410000.0,7463,2013-12-21,2013-14 Wildfire,Martindale Creek
29726,2013,10000.0,526,2014-01-23,2013-14 Wildfire,Fourth Crossing
29727,2013,0.0,144,2014-01-23,2013-14 Wildfire,Fourth Crossing
29728,2013,0.0,224,2014-01-18,2013-14 Wildfire,The Ponds
29730,2013,30000.0,831,2013-09-15,2013-14 Wildfire,Tuckerbox Road Fire
29731,2013,20000.0,1361,2013-09-10,2013-14 Wildfire,Tickner Road Castlereagh
29733,2013,1970000.0,9971,2013-09-02,2013-14 Wildfire,Blackbutt Road Fire
29734,2013,2100000.0,7568,2013-09-26,2013-14 Wildfire,Shallow Bay Fire
29735,2011,50000.0,971,2011-08-01,2011-12 Wildfire, 
29737,2009,90000.0,1699,2009-10-14,2009-10 Wildfire, 
29738,2011,0.0,276,2011-09-15,2011-12 Wildfire, 
29739,2013,430000.0,3799,2013-08-31,2013-14 Wildfire,GAP BEACH RD
29740,2013,8860000.0,27170,2013-09-10,2013-14 Wildfire,Hawkesbury Road
29742,2013,60000.0,1669,2013-09-10,2013-14 Wildfire,Hawkesbury Road
29743,2013,0.0,201,2013-12-21,2013-14 Wildfire,Little River
29744,2013,0.0,115,2013-12-21,2013-14 Wildfire,Sire Bertram Stevens Drive
29745,2013,0.0,90,2014-01-11,2013-14 Wildfire,McKell Ave
